gene1,gene2,GI_scores
AATF,PSPH,-0.244859821961
AATF,PTCD1,0.915925475112
AATF,PTCD3,1.1822283818500001
AATF,PTTG1,-1.46652674134
AATF,PWP1,0.58744319221
AATF,QARS,0.333459525098
AATF,RAD51,0.9714325901
AATF,RAE1,-0.979310979128
AATF,RBBP8,0.814554479682
AATF,RBFA,0.23411574611699998
AATF,RBM17,1.60008909949
AATF,RBM25,0.488735596535
AATF,REXO2,-0.24351352505999999
AATF,RFC4,0.027511053705000003
AATF,RFC5,0.571840979008
AATF,RINT1,1.08614924165
AATF,RNF20,0.026264888674599998
AATF,RNGTT,0.062321253936
AATF,ROMO1,0.17648489512
AATF,RPA3,0.153185866168
AATF,RPF2,0.555992392579
AATF,RPL10,2.0455087755
AATF,RPL11,0.45523882138099997
AATF,RPL23,-0.437758927802
AATF,RPL24,0.588217603914
AATF,RPL27,0.43038583712300005
AATF,RPL28,0.51900926672
AATF,RPL3,1.18710038876
AATF,RPL30,1.80845053315
AATF,RPL32,1.6123792335499998
AATF,RPL35,-0.334789791248
AATF,RPL36A,-0.631668232948
AATF,RPL5,-0.109472108954
AATF,RPLP1,0.20366717996800002
AATF,RPLP2,2.13600127973
AATF,RPP30,-0.143661530044
AATF,RPP38,-0.13818829269000002
AATF,RPS18,-0.202088251953
AATF,RPS27A,0.115843008528
AATF,RPS28,-0.00792725116075
AATF,RPSA,1.16400083567
AATF,RPTOR,1.7637836908200002
AATF,RRM1,1.8423863204
AATF,RTF1,-0.16042408865399999
AATF,SAP18,0.437199862261
AATF,SCO1,0.957957390171
AATF,SDHC,0.886205208097
AATF,SEH1L,-0.0837091473815
AATF,SF3B1,0.5925262576929999
AATF,SFXN1,-0.19563622790600002
AATF,SKA3,-0.260272337437
AATF,SKIV2L,0.472150076424
AATF,SKIV2L2,0.28134343434799997
AATF,SLC7A1,0.115708721142
AATF,SLC7A6OS,0.200017546116
AATF,SMC5,0.25221076845199997
AATF,SMNDC1,0.924167445423
AATF,SNAPC1,2.53816245219
AATF,SNIP1,0.846403468954
AATF,SNRNP200,0.962909179796
AATF,SNRNP70,0.0545938890754
AATF,SNRPB,0.343974586274
AATF,SNRPC,1.4026442168000002
AATF,SNRPD3,0.031512165715
AATF,SNRPG,-0.688710024342
AATF,SPAG7,0.170285776126
AATF,SPDL1,0.27804067226999996
AATF,SRFBP1,-1.5574479287799998
AATF,SRSF7,1.16501188061
AATF,SSB,-0.294610337571
AATF,SSBP1,0.432163513833
AATF,STXBP4,-0.532057763921
AATF,SYVN1,1.13228743267
AATF,TAF1,0.329415399552
AATF,TAF1A,-0.492740525578
AATF,TAF2,0.7460184440150001
AATF,TBC1D31,-1.5815848267100001
AATF,TBCB,-0.18599013857000002
AATF,TCF25,-0.316771894122
AATF,TCOF1,0.375674071427
AATF,TFB1M,0.445072149589
AATF,TGIF2,0.614130347222
AATF,TIMM22,0.416693349326
AATF,TIMM9,-0.43617509503799995
AATF,TIPIN,0.7722130860079999
AATF,TMEM261,0.430965445349
AATF,TOMM22,0.11304814090500001
AATF,TRA2B,0.46566325377499995
AATF,TRMT5,0.7079069496699999
AATF,TRNAU1AP,0.48540710793
AATF,TRPM7,0.653701346164
AATF,TRRAP,0.64221115291
AATF,TSEN2,0.468841420648
AATF,TTC4,0.63690087926
AATF,TUBB,0.86344410407
AATF,TUBGCP3,0.7628661131550001
AATF,TUBGCP5,0.09477587811669999
AATF,UBA2,0.43384348067199996
AATF,UBA3,2.03640922073
AATF,UMPS,0.868525908444
AATF,UQCRB,-0.0917154470435
AATF,USE1,1.6424503861200002
AATF,VPS29,-0.026289907430000002
AATF,WARS2,0.9447238408159999
AATF,WDR36,-1.22368829311
AATF,WDR61,1.35795269132
AATF,WDR7,0.07450456048
AATF,WDR77,0.8095556242049999
AATF,XPO1,1.30195684299
AATF,XRN2,1.0284910232
AATF,YTHDC1,1.01685549966
AATF,ZCCHC9,-1.4839240894499999
