APOA4,ANGPTL5
APOA5,APOA4
APOBEC1,ACRBP
APOBEC3A,ADORA2A
APOBEC3A,AIFM3
APOBEC3A,ANKRD54
APOBEC3A,AP1B1
APOBEC3B,APOBEC3A
APOBEC3C,ADORA2A
APOBEC3C,ANKRD54
APOBEC3C,APOBEC3A
APOBEC3D,ADORA2A
APOBEC3D,AIFM3
APOBEC3D,APOBEC3A
APOBEC3D,APOBEC3C
APOBEC3F,ADORA2A
APOBEC3F,APOBEC3A
APOBEC3G,ADORA2A
APOBEC3G,AIFM3
APOBEC3G,ANKRD54
APOBEC3G,APOBEC3A
APOBEC3G,APOBEC3C
APOBEC3G,APOBEC3D
APOBEC3H,A4GALT
APOBEC3H,ADORA2A
APOBEC3H,APOBEC3C
APOBEC3H,APOBEC3G
APOBR,ACSM1
APOBR,ACSM5
APOBR,AHSP
APOBR,ANKS4B
APOC1,ACP7
APOC1,APLP1
APOC2,ACP7
APOC2,ADM5
APOC2,ALDH16A1
APOC2,ALKBH6
APOC2,APLP1
APOC2,APOC1
APOC3,ABCG4
APOC3,APOA1
APOC4,ACP7
APOC4,ADM5
APOC4,ALKBH6
APOC4,APLP1
APOC4,APOC1
APOC4,APOC2
APOE,ACP7
APOE,APOC2
APOE,APOC4
APOF,ACVR1B
APOF,ADCY6
APOF,AMHR2
APOL1,ADORA2A
APOL1,AIFM3
APOL1,ANKRD54
APOL1,AP1B1
APOL1,APOBEC3A
APOL1,APOBEC3C
APOL1,APOBEC3D
APOL1,APOBEC3G
APOL1,APOBEC3H
APOL2,ADORA2A
APOL2,ANKRD54
APOL2,APOBEC3A
APOL2,APOL1
APOL3,ADORA2A
APOL3,AIFM3
APOL3,APOBEC3A
APOL3,APOBEC3G
APOL3,APOL1
APOL3,APOL2
APOL5,A4GALT
APOL5,ADA2
APOL5,ADORA2A
APOL5,AIFM3
APOL5,ANKRD54
APOL5,AP1B1
APOL5,APOBEC3A
APOL5,APOBEC3C
APOL5,APOBEC3D
APOL5,APOBEC3G
APOL5,APOL1
APOL5,APOL2
APOL6,ADORA2A
APOL6,AP1B1
APOL6,APOBEC3A
APOL6,APOBEC3G
APOL6,APOL1
APOL6,APOL2
APOL6,APOL3
APOL6,APOL5
APOM,AIF1
APOPT1,ADSSL1
APTX,ALDH1B1
APTX,ANKRD18A
AQP10,ANKRD45
AQP10,ANXA9
AQP10,APOA2
AQP2,ACVRL1
AQP2,ANKRD33
AQP3,APTX
AQP4,ANKRD29
AQP5,ACVRL1
AQP5,AGAP2
AQP5,ANKRD33
AQP5,AQP2
AQP6,AAAS
AQP6,ADCY6
AQP6,AMHR2
AQP6,ANKRD33
AQP6,APOF
AQP6,AQP5
AQP7,ACO1
AQP7,APTX
AQP8,ABCC6
AQP8,ANKS4B
AQP8,APOBR
AQP9,ADAL
ARAP1,ALDH3B2
ARAP1,ANO1
AREL1,ABCD4
ARF1,ABI1
ARF1,ACTR2
ARF1,ACTR3
ARF1,ALG6
ARF3,ADCY6
ARF3,AGAP2
ARF3,AMHR2
ARF3,ANKRD33
ARF3,ANO6
ARF3,AQP2
ARF3,AQP5
ARF3,AQP6
ARF4,ARF1
ARF5,AGBL3
ARFGAP2,ACCS
ARFGAP2,ACCSL
ARFGAP2,AGBL2
ARFGAP2,ALKBH3
ARG2,ADAM21
ARHGAP1,AGBL2
ARHGAP1,APIP
ARHGAP1,ARFGAP2
ARHGAP11B,ARHGAP11A
ARHGAP12,ANKRD30A
ARHGAP17,APOBR
ARHGAP21,AMOTL2
ARHGAP21,ARHGAP12
ARHGAP22,A1CF
ARHGAP27,ACBD4
ARHGAP33,ACP7
ARHGAP33,ACTN4
ARHGAP33,ADM5
ARHGAP33,AKT2
ARHGAP33,ALDH16A1
ARHGAP33,ALKBH6
ARHGAP33,ANKRD27
ARHGAP33,APLP1
ARHGAP33,APOC2
ARHGAP33,APOC4
ARHGAP33,APOE
ARHGAP35,AGFG1
ARHGAP35,AMOTL2
ARHGAP39,ARC
ARHGAP44,ADORA2B
ARHGAP44,ALOX12B
ARHGAP44,ALOXE3
ARHGAP8,A4GALT
ARHGAP8,ADORA2A
